email,lemma,given_learning,given_followup,location
0,saint,saint,-1,swiss
0,origin,don't know,-1,swiss
0,version,version,-1,swiss
0,federal,federal,-1,swiss
0,title,title,-1,swiss
0,october,October,-1,swiss
0,come,came,-1,swiss
0,island,don't know,-1,swiss
0,begin,begin,-1,swiss
0,river,river,-1,swiss
0,east,east,-1,swiss
0,states,States,-1,swiss
0,human,human,-1,swiss
0,mark,mark,-1,swiss
0,colony,colony,-1,swiss
0,institution,institutions,-1,swiss
0,film,movie,-1,swiss
0,information,information,-1,swiss
0,province,province,-1,swiss
0,navy,navy,-1,swiss
0,figure,figure,-1,swiss
0,estimate,estimated,-1,swiss
0,order,order,-1,swiss
0,king,kings,-1,swiss
0,material,don't know,-1,swiss
0,recognize,studied,-1,swiss
0,office,office,-1,swiss
1,federal,magazine,-1,swiss
1,century,century,-1,swiss
1,island,island,-1,swiss
1,native,native,-1,swiss
1,navy,navy,-1,swiss
1,origin,,-1,swiss
1,bear,,-1,swiss
1,river,river,-1,swiss
1,institution,,-1,swiss
1,education,calculus,-1,swiss
1,figure,figure,-1,swiss
1,version,version,-1,swiss
1,home,home,-1,swiss
1,child,children,-1,swiss
1,estimate,estimated,-1,swiss
1,majority,community,-1,swiss
1,real,,-1,swiss
1,human,people,-1,swiss
1,work,,-1,swiss
1,recognize,recognized,-1,swiss
1,order,native,-1,swiss
1,title,name,-1,swiss
1,come,,-1,swiss
1,information,information,-1,swiss
1,states,states,-1,swiss
1,province,province,-1,swiss
1,begin,begun,-1,swiss
2,information,instructions,-1,swiss
2,federal,,-1,swiss
2,order,order,-1,swiss
2,states,States,-1,swiss
2,home,home,-1,swiss
2,estimate,estimated,-1,swiss
2,version,book,-1,swiss
2,origin,,-1,swiss
2,recognize,studied,-1,swiss
2,education,education,-1,swiss
2,title,name,-1,swiss
2,native,native,-1,swiss
2,province,region,-1,swiss
2,real,,-1,swiss
2,child,children,-1,swiss
2,work,work,-1,swiss
2,island,island,-1,swiss
2,valley,,-1,swiss
2,come,rose,-1,swiss
2,bear,,-1,swiss
2,figure,figure,-1,swiss
2,human,human,-1,swiss
2,river,River,-1,swiss
2,majority,majority,-1,swiss
2,institution,,-1,swiss
2,century,century,-1,swiss
2,begin,,-1,swiss
3,begin,abolished,-1,swiss
3,work,era,-1,swiss
3,bear,bear,-1,swiss
3,figure,period,-1,swiss
3,origin,time,-1,swiss
3,come,came,-1,swiss
3,river,east,-1,swiss
3,majority,world,-1,swiss
3,province,capital,-1,swiss
3,institution,figure,-1,swiss
3,title,name ,-1,swiss
3,information,history,-1,swiss
3,century,century,-1,swiss
3,native,local,-1,swiss
3,child,children,-1,swiss
3,human,common,-1,swiss
3,home,place,-1,swiss
3,states,nations,-1,swiss
3,estimate,approximate,-1,swiss
3,real,people,-1,swiss
3,island,eastern,-1,swiss
3,recognize,done,-1,swiss
3,version,figure,-1,swiss
3,federal,litterature,-1,swiss
3,valley,banks,-1,swiss
3,education,school,-1,swiss
3,navy,Navy,-1,swiss
4,century,century,-1,swiss
4,version,version,,swiss
4,navy,Navy,navy,swiss
4,island,island,island,swiss
4,work,work,-1,swiss
4,information,,information,swiss
4,figure,,,swiss
4,home,,home,swiss
4,estimate,approximate,average,swiss
4,education,,school,swiss
4,begin,began,,swiss
4,recognize,recognized,,swiss
4,majority,majority,majority,swiss
4,federal,,,swiss
4,real,reals,-1,swiss
4,states,States,-1,swiss
4,come,came,-1,swiss
4,institution,,-1,swiss
4,river,River,River,swiss
4,native,native,-1,swiss
4,order,order,order,swiss
4,title,title,title,swiss
4,province,colony,province,swiss
4,origin,origin,,swiss
4,bear,son,,swiss
4,child,children,-1,swiss
4,human,recognized,-1,swiss
5,figure,city,figure,swiss
5,origin,,mention,swiss
5,october,october,January,swiss
5,river,river,lake,swiss
5,estimate,approximate,approximate,swiss
5,come,got,-1,swiss
5,states,states,-1,swiss
5,office,,-1,swiss
5,colony,,-1,swiss
5,recognize,addressed,recognized,swiss
5,begin,were,consist ,swiss
5,federal,association ,,swiss
5,title,name,name,swiss
5,island,island,colony ,swiss
5,east,East,East,swiss
5,order,,,swiss
5,version,text,paper,swiss
5,material,area,-1,swiss
5,education,school,education,swiss
5,film,,area,swiss
5,mark,marcus,-1,swiss
5,navy,Office,Navy,swiss
5,king,kings,kings,swiss
5,institution,eras,-1,swiss
5,saint,Saint,-1,swiss
5,information,home,,swiss
5,province,coast,,swiss
6,begin,,-1,swiss
6,federal,,-1,swiss
6,mark,,-1,swiss
6,education,education,-1,swiss
6,information,information,-1,swiss
6,origin,born,-1,swiss
6,title,,-1,swiss
6,october,November,-1,swiss
6,human,,-1,swiss
6,come,,-1,swiss
6,version,,-1,swiss
6,recognize,,-1,swiss
6,material,community,-1,swiss
6,colony,trade,-1,swiss
6,states,states,-1,swiss
6,figure,valley,-1,swiss
6,river,river,-1,swiss
6,navy,federal,-1,swiss
6,film,,-1,swiss
6,king,king,-1,swiss
6,office,,-1,swiss
6,saint,saint,-1,swiss
6,province,marked,-1,swiss
6,estimate,era,-1,swiss
6,island,,-1,swiss
6,east,east,-1,swiss
6,order,order,-1,swiss
7,october,lokakku,november,swiss
7,recognize,tunnista,recognized,swiss
7,order,järjestystksessä,,swiss
7,navy,laivasto,Navy,swiss
7,information,huoneesta,information,swiss
7,title,otsikko,title,swiss
7,figure,kuva,figure,swiss
7,origin,alkuperä,,swiss
7,action,toiminta,,swiss
7,begin,alkaa,,swiss
7,private,yksityiset,,swiss
7,east,ltä,east,swiss
7,king,kuningas,king,swiss
7,film,elokuva,,swiss
7,province,maakunta,commune,swiss
7,bear,karhu,born,swiss
7,majority,suurin osa,,swiss
7,federal,liitovaltion,,swiss
7,writer,kirjajlija,writter,swiss
7,valley,laaksossa,valley,swiss
7,river,joen,river,swiss
7,island,saarella,island,swiss
7,derive,johdetaan,comes,swiss
7,estimate,arvio,,swiss
7,version,käänos,,swiss
7,education,koutulus,school,swiss
7,party,osapuoli,people,swiss
8,island,island,-1,swiss
8,east,East,-1,swiss
8,title,title,-1,swiss
8,bear,,-1,swiss
8,king,king,-1,swiss
8,province,city,-1,swiss
8,begin,,-1,swiss
8,order,order,-1,swiss
8,party,party,-1,swiss
8,majority,majority,-1,swiss
8,origin,origin,,swiss
8,home,home,-1,swiss
8,version,copy,-1,swiss
8,information,information,-1,swiss
8,writer,figure,-1,swiss
8,federal,federal,-1,swiss
8,private,community,-1,swiss
8,valley,valley,-1,swiss
8,navy,Navy,-1,swiss
8,october,may,-1,swiss
8,river,river,-1,swiss
8,estimate,estimated,-1,swiss
8,derive,derived,-1,swiss
8,action,action,-1,swiss
8,recognize,,-1,swiss
8,figure,figure,-1,swiss
8,film,film,-1,swiss
9,recognize,recognized,-1,swiss
9,work,work,-1,swiss
9,century,Century,-1,swiss
9,title,name,-1,swiss
9,information,complexity,-1,swiss
9,valley,river,-1,swiss
9,institution,actions,-1,swiss
9,navy,Country,-1,swiss
9,real,actions,-1,swiss
9,home,house,-1,swiss
9,order,order,-1,swiss
9,bear,nominated,-1,swiss
9,estimate,amount,-1,swiss
9,education,school,-1,swiss
9,begin,support,-1,swiss
9,island,island,-1,swiss
9,province,area,-1,swiss
9,origin,origin,-1,swiss
9,come,...,-1,swiss
9,human,science,-1,swiss
9,majority,people,-1,swiss
9,states,kingdom,-1,swiss
9,native,own,-1,swiss
9,federal,...,-1,swiss
9,child,childreen,-1,swiss
9,figure,figure,-1,swiss
9,river,river,-1,swiss
10,recognize,,-1,swiss
10,estimate,estimated,-1,swiss
10,begin,,-1,swiss
10,version,,-1,swiss
10,navy,,-1,swiss
10,education,school,-1,swiss
10,material,,-1,swiss
10,province,city,-1,swiss
10,come,came,-1,swiss
10,human,,-1,swiss
10,origin,,-1,swiss
10,title,title,-1,swiss
10,federal,,-1,swiss
10,king,king,-1,swiss
10,colony,colony,-1,swiss
10,film,,-1,swiss
10,mark,,-1,swiss
10,island,,-1,swiss
10,saint,saint,-1,swiss
10,institution,,-1,swiss
10,office,office,-1,swiss
10,east,east,-1,swiss
10,october,,-1,swiss
10,figure,era,-1,swiss
10,order,,-1,swiss
10,states,states,-1,swiss
10,information,information,-1,swiss
11,human,?,-1,swiss
11,navy,?,-1,swiss
11,figure,figure,-1,swiss
11,island,island,-1,swiss
11,states,?,-1,swiss
11,native,native,-1,swiss
11,home,?,-1,swiss
11,work,word,-1,swiss
11,century,century,-1,swiss
11,child,children,-1,swiss
11,version,version,-1,swiss
11,real,production,-1,swiss
11,majority,?,-1,swiss
11,bear,?,-1,swiss
11,education,education,-1,swiss
11,valley,?,-1,swiss
11,begin,begin,-1,swiss
11,river,river,-1,swiss
11,title,?,-1,swiss
11,estimate,approximately,-1,swiss
11,institution,production,-1,swiss
11,recognize,recognized,-1,swiss
11,information,?,-1,swiss
11,province,?,-1,swiss
11,come,came,-1,swiss
11,origin,origin,-1,swiss
11,order,?,-1,swiss
12,education,school,-1,swiss
12,navy,,-1,swiss
12,recognize,considered,-1,swiss
12,king,king,-1,swiss
12,human,human,-1,swiss
12,come,came,-1,swiss
12,river,river,-1,swiss
12,october,march,-1,swiss
12,saint,,-1,swiss
12,institution,structures,-1,swiss
12,colony,lands,-1,swiss
12,version,canvas,-1,swiss
12,title,leader,-1,swiss
12,states,States,-1,swiss
12,estimate,approximate,-1,swiss
12,province,village,-1,swiss
12,mark,,-1,swiss
12,material,ash,-1,swiss
12,order,,-1,swiss
12,island,island,-1,swiss
12,east,east,-1,swiss
12,office,power,-1,swiss
12,figure,figure,-1,swiss
12,federal,federal,-1,swiss
12,information,information,-1,swiss
12,film,,-1,swiss
12,begin,,-1,swiss
13,film,book,-1,swiss
13,order,,-1,swiss
13,title,tittle,-1,swiss
13,home,house,-1,swiss
13,october,October,-1,swiss
13,island,island,-1,swiss
13,writer,writers,-1,swiss
13,origin,history,-1,swiss
13,education,education,-1,swiss
13,information,,-1,swiss
13,navy,,-1,swiss
13,east,new,-1,swiss
13,king,,-1,swiss
13,private,,-1,swiss
13,action,,-1,swiss
13,federal,federal,-1,swiss
13,province,,-1,swiss
13,figure,,-1,swiss
13,party,,-1,swiss
13,version,,-1,swiss
13,valley,,-1,swiss
13,majority,population,-1,swiss
13,estimate,,-1,swiss
13,derive,,-1,swiss
13,begin,,-1,swiss
13,recognize,,-1,swiss
13,river,lake,-1,swiss
14,child,children,-1,swiss
14,island,,-1,swiss
14,figure,era,-1,swiss
14,home,home,-1,swiss
14,bear,,-1,swiss
14,human,human,-1,swiss
14,federal,,-1,swiss
14,begin,began,-1,swiss
14,order,order,-1,swiss
14,navy,navy,-1,swiss
14,century,century,-1,swiss
14,province,,-1,swiss
14,work,work,-1,swiss
14,institution,,-1,swiss
14,valley,,-1,swiss
14,title,word,-1,swiss
14,states,state,-1,swiss
14,real,,-1,swiss
14,recognize,recognized,-1,swiss
14,education,education,-1,swiss
14,majority,,-1,swiss
14,version,paper,-1,swiss
14,native,native,-1,swiss
14,information,,-1,swiss
14,river,,-1,swiss
14,come,claim,-1,swiss
14,estimate,total,-1,swiss
15,order,order,-1,swiss
15,real,dont kwnow,-1,swiss
15,begin,began,-1,swiss
15,river,river,-1,swiss
15,estimate,approximate,-1,swiss
15,native,native,-1,swiss
15,institution,dk ,-1,swiss
15,island,island ,-1,swiss
15,federal,,-1,swiss
15,century,century,-1,swiss
15,version,,-1,swiss
15,come,,-1,swiss
15,figure,city,-1,swiss
15,education,school,-1,swiss
15,child,child,-1,swiss
15,title,language,-1,swiss
15,recognize,,-1,swiss
15,home,home,-1,swiss
15,work,title,-1,swiss
15,bear,,-1,swiss
15,human,human,-1,swiss
15,origin,,-1,swiss
15,valley,valey,-1,swiss
15,navy,navy,-1,swiss
15,province,,-1,swiss
15,information,information,-1,swiss
15,states,,-1,swiss
16,federal,National,-1,swiss
16,river,river,-1,swiss
16,bear,,-1,swiss
16,derive,originated,-1,swiss
16,origin,,-1,swiss
16,island,island,-1,swiss
16,order,order,-1,swiss
16,valley,valley,-1,swiss
16,recognize,taught,-1,swiss
16,begin,,-1,swiss
16,film,book,-1,swiss
16,king,the poplation,-1,swiss
16,east,,-1,swiss
16,education,school,-1,swiss
16,province,province,-1,swiss
16,figure,repport,-1,swiss
16,october,october,-1,swiss
16,writer,,-1,swiss
16,party,,-1,swiss
16,information,data,-1,swiss
16,action,institution,-1,swiss
16,estimate,,-1,swiss
16,majority,majority,-1,swiss
16,version,,-1,swiss
16,navy,,-1,swiss
16,title,,-1,swiss
16,home,home,-1,swiss
17,material,era,-1,swiss
17,begin,begin,began,swiss
17,education,education,education,swiss
17,recognize,studied,studied,swiss
17,information,information,information,swiss
17,mark,marked,-1,swiss
17,saint,Saint,-1,swiss
17,origin,beginnings,beginnings,swiss
17,october,october,-1,swiss
17,figure,figure,,swiss
17,version,material,material,swiss
17,film,film,-1,swiss
17,east,East,-1,swiss
17,navy,Navy,Navy,swiss
17,island,island,island,swiss
17,order,order,,swiss
17,states,States,states,swiss
17,colony,colonies,-1,swiss
17,federal,Federal,federal,swiss
17,come,came,,swiss
17,estimate,estimated,estimated,swiss
17,king,king,-1,swiss
17,institution,state,,swiss
17,title,name,name,swiss
17,office,power,-1,swiss
17,river,river,river,swiss
17,human,human,human,swiss
18,island,island,island,swiss
18,information,information,information,swiss
18,origin,origin,origin,swiss
18,version,version,version,swiss
18,king,king,king,swiss
18,estimate,,,swiss
18,derive,derived,,swiss
18,east,East,east,swiss
18,begin,begin,began,swiss
18,home,,,swiss
18,recognize,recognized,acknowledged,swiss
18,writer,writers,,swiss
18,figure,figure,figure,swiss
18,october,october,october,swiss
18,action,,action,swiss
18,province,province,municipality,swiss
18,order,order,order,swiss
18,title,title,title,swiss
18,private,private,private,swiss
18,bear,,,swiss
18,valley,valley,valley,swiss
18,education,education,education,swiss
18,river,river,River,swiss
18,majority,,,swiss
18,navy,navy,Navy,swiss
18,party,party,,swiss
18,film,film,film,swiss
19,begin,,-1,swiss
19,human,common,-1,swiss
19,estimate,estimate,-1,swiss
19,states,states,-1,swiss
19,order,order,-1,swiss
19,colony,community,-1,swiss
19,province,city,-1,swiss
19,education,education,-1,swiss
19,river,river,-1,swiss
19,title,title,-1,swiss
19,come,,-1,swiss
19,island,island,-1,swiss
19,version,information,-1,swiss
19,mark,,-1,swiss
19,federal,federal,-1,swiss
19,east,east,-1,swiss
19,institution,,-1,swiss
19,office,,-1,swiss
19,figure,era,-1,swiss
19,october,january,-1,swiss
19,information,information,-1,swiss
19,king,king,-1,swiss
19,film,,-1,swiss
19,recognize,,-1,swiss
19,origin,,-1,swiss
19,navy,navy,-1,swiss
19,saint,saint,-1,swiss
20,province,province,-1,swiss
20,institution,,-1,swiss
20,navy,navy,-1,swiss
20,origin,,-1,swiss
20,home,home,-1,swiss
20,majority,,-1,swiss
20,begin,,-1,swiss
20,estimate,approximate,-1,swiss
20,come,,-1,swiss
20,bear,,-1,swiss
20,education,school,-1,swiss
20,version,,-1,swiss
20,federal,,-1,swiss
20,real,,-1,swiss
20,order,,-1,swiss
20,valley,,-1,swiss
20,states,,-1,swiss
20,century,century,-1,swiss
20,child,kids,-1,swiss
20,island,island,-1,swiss
20,information,information,-1,swiss
20,recognize,taught,-1,swiss
20,work,,-1,swiss
20,human,important,-1,swiss
20,title,ruler,-1,swiss
20,figure,,-1,swiss
20,native,tongue,-1,swiss
21,film,,-1,swiss
21,writer,figure,-1,swiss
21,figure,,-1,swiss
21,bear,king,-1,swiss
21,home,home,-1,swiss
21,begin,,-1,swiss
21,version,,-1,swiss
21,education,education/ school,-1,swiss
21,recognize,,-1,swiss
21,east,East,-1,swiss
21,title,title,-1,swiss
21,island,island,-1,swiss
21,federal,Federal,-1,swiss
21,derive,derived,-1,swiss
21,navy,Navy,-1,swiss
21,valley,,-1,swiss
21,party,,-1,swiss
21,majority,,-1,swiss
21,information,,-1,swiss
21,order,,-1,swiss
21,river,River,-1,swiss
21,private,private,-1,swiss
21,october,Oktober,-1,swiss
21,origin,,-1,swiss
21,province,province,-1,swiss
21,estimate,,-1,swiss
21,king,king,-1,swiss
22,education,,-1,swiss
22,origin,,-1,swiss
22,century,century,-1,swiss
22,figure,,-1,swiss
22,begin,,-1,swiss
22,order,,-1,swiss
22,title,,-1,swiss
22,bear,,-1,swiss
22,home,house,-1,swiss
22,come,came,-1,swiss
22,human,,-1,swiss
22,native,native,-1,swiss
22,version,,-1,swiss
22,province,,-1,swiss
22,estimate,,-1,swiss
22,federal,,-1,swiss
22,navy,,-1,swiss
22,institution,,-1,swiss
22,recognize,,-1,swiss
22,child,children,-1,swiss
22,river,river,-1,swiss
22,real,,-1,swiss
22,states,,-1,swiss
22,work,work,-1,swiss
22,valley,valley,-1,swiss
22,information,,-1,swiss
22,majority,majority,-1,swiss
23,states,States,-1,swiss
23,estimate,estimated,-1,swiss
23,education,education,-1,swiss
23,king,King,-1,swiss
23,version,Material,-1,swiss
23,material,Islands,-1,swiss
23,river,river,-1,swiss
23,figure,era,-1,swiss
23,institution,,-1,swiss
23,province,province,-1,swiss
23,office,office,-1,swiss
23,human,human,-1,swiss
23,order,,-1,swiss
23,recognize,studied,-1,swiss
23,east,east,-1,swiss
23,saint,Saint,-1,swiss
23,title,name,-1,swiss
23,october,november,-1,swiss
23,navy,navy,-1,swiss
23,film,work,-1,swiss
23,island,island,-1,swiss
23,federal,federal,-1,swiss
23,begin,,-1,swiss
23,mark,mark,-1,swiss
23,information,information,-1,swiss
23,come,came,-1,swiss
23,colony,colony,-1,swiss
24,valley,valley,-1,swiss
24,action,,-1,swiss
24,information,information,-1,swiss
24,bear,bear,-1,swiss
24,majority,majority,-1,swiss
24,derive,derived,-1,swiss
24,party,,-1,swiss
24,title,,-1,swiss
24,island,island,-1,swiss
24,begin,began,-1,swiss
24,province,,-1,swiss
24,private,,-1,swiss
24,version,version,-1,swiss
24,writer,,-1,swiss
24,navy,navy,-1,swiss
24,order,order,-1,swiss
24,estimate,square,-1,swiss
24,october,january,-1,swiss
24,home,,-1,swiss
24,recognize,recognize,-1,swiss
24,film,film,-1,swiss
24,king,king,-1,swiss
24,origin,,-1,swiss
24,federal,federal,-1,swiss
24,river,river,-1,swiss
24,figure,,-1,swiss
24,education,,-1,swiss
25,native,native,-1,swiss
25,title,name,-1,swiss
25,states,states,-1,swiss
25,version,,-1,swiss
25,recognize,recognized,-1,swiss
25,island,island,-1,swiss
25,order,,-1,swiss
25,institution,institutions,-1,swiss
25,work,work,-1,swiss
25,human,,-1,swiss
25,majority,majority,-1,swiss
25,river,,-1,swiss
25,province,province,-1,swiss
25,education,school,-1,swiss
25,origin,,-1,swiss
25,estimate,estimated,-1,swiss
25,federal,federal,-1,swiss
25,come,came,-1,swiss
25,information,,-1,swiss
25,valley,valley,-1,swiss
25,child,children,-1,swiss
25,home,home,-1,swiss
25,navy,navy,-1,swiss
25,figure,figure,-1,swiss
25,begin,,-1,swiss
25,real,,-1,swiss
25,bear,bear,-1,swiss
26,october,October,-1,swiss
26,colony,Empire,-1,swiss
26,figure,,figure,swiss
26,mark,Marked,-1,swiss
26,begin,began,,swiss
26,federal,Federal,Federal,swiss
26,province,province,province,swiss
26,navy,Navy,navy,swiss
26,film,film,-1,swiss
26,island,island,island,swiss
26,version,,,swiss
26,recognize,recognized,recognized,swiss
26,king,king,-1,swiss
26,title,,title,swiss
26,human,human,human,swiss
26,estimate,estimated,estimated,swiss
26,office,office,-1,swiss
26,institution,,,swiss
26,come,,came,swiss
26,education,education,education,swiss
26,material,,-1,swiss
26,river,river,river,swiss
26,saint,Saint,-1,swiss
26,states,States,States,swiss
26,origin,origin,origin,swiss
26,information,information,information,swiss
26,order,order,order,swiss
27,title,community,-1,swiss
27,figure,fact,-1,swiss
27,river,river,-1,swiss
27,king,king,-1,swiss
27,federal,,-1,swiss
27,majority,majority,-1,swiss
27,estimate,estimate,-1,swiss
27,begin,,-1,swiss
27,information,information,-1,swiss
27,film,,-1,swiss
27,derive,derive,-1,swiss
27,navy,navy,-1,swiss
27,action,action,-1,swiss
27,east,east,-1,swiss
27,education,education,-1,swiss
27,origin,origin,-1,swiss
27,order,order,-1,swiss
27,province,province,-1,swiss
27,version,,-1,swiss
27,writer,writer,-1,swiss
27,private,private,-1,swiss
27,recognize,consider,-1,swiss
27,home,home,-1,swiss
27,valley,valley,-1,swiss
27,party,,-1,swiss
27,island,island,-1,swiss
27,october,october,-1,swiss
28,version,version,material,swiss
28,institution,institution,institution,swiss
28,begin,include,,swiss
28,east,east,east,swiss
28,office,,,swiss
28,states,states,states,swiss
28,figure,position,era,swiss
28,king,king,king,swiss
28,estimate,approximate,estimated,swiss
28,origin,,begin,swiss
28,information,information,,swiss
28,come,arrive,,swiss
28,material,mountains,,swiss
28,mark,mark,mark,swiss
28,human,human,human,swiss
28,film,,,swiss
28,province,province,province,swiss
28,education,study,study,swiss
28,federal,Federal,,swiss
28,order,order,order,swiss
28,island,island,island,swiss
28,title,name,name,swiss
28,recognize,,,swiss
28,october,November,october,swiss
28,colony,colony,colony,swiss
28,navy,navy,navy,swiss
28,saint,Saint,saint,swiss
29,version,material,-1,swiss
29,origin,origin,-1,swiss
29,begin,,-1,swiss
29,saint,Saint,-1,swiss
29,river,river,-1,swiss
29,come,climb,-1,swiss
29,human,,-1,swiss
29,states,States,-1,swiss
29,island,island,-1,swiss
29,recognize,reported,-1,swiss
29,title,,-1,swiss
29,federal,federal,-1,swiss
29,education,education,-1,swiss
29,figure,figure,-1,swiss
29,mark,mark,-1,swiss
29,order,,-1,swiss
29,colony,colony,-1,swiss
29,october,october,-1,swiss
29,province,province,-1,swiss
29,office,power,-1,swiss
29,material,activity,-1,swiss
29,institution,institutes,-1,swiss
29,film,,-1,swiss
29,estimate,estimate,-1,swiss
29,east,East,-1,swiss
29,king,king,-1,swiss
29,navy,Navy,-1,swiss
30,version,kaanos,-1,swiss
30,title,,-1,swiss
30,majority,,-1,swiss
30,order,,-1,swiss
30,federal,,-1,swiss
30,island,island,-1,swiss
30,private,principal,-1,swiss
30,home,house,-1,swiss
30,navy,,-1,swiss
30,estimate,,-1,swiss
30,action,,-1,swiss
30,information,,-1,swiss
30,bear,,-1,swiss
30,derive,,-1,swiss
30,begin,,-1,swiss
30,education,,-1,swiss
30,recognize,recognize,-1,swiss
30,province,,-1,swiss
30,october,january,-1,swiss
30,river,,-1,swiss
30,east,east,-1,swiss
30,writer,,-1,swiss
30,film,,-1,swiss
30,figure,,-1,swiss
30,valley,,-1,swiss
30,party,,-1,swiss
30,origin,,-1,swiss
31,begin,origin,-1,swiss
31,education,school,-1,swiss
31,valley,valley,-1,swiss
